Country,Total
Afghanistan, 1
Albania, 4
Algeria, 177
Argentina, 11885
Armenia (Republic), 460
Australia, 113885
Austria, 27925
Azerbaijan, 13
Bangladesh, 3000
Belarus, 54
Belgium, 22077
Bolivia, 172
Bosnia and Herzegovina, 3178
Brazil, 68477
Bulgaria, 10934
Burma, 10
Canada, 66152
Chile, 10518
China, 149139
China (Republic : 1949- ), 13170
Colombia, 2484
Costa Rica, 643
Croatia, 10927
Cuba, 711
Cyprus, 2204
Czech Republic, 43165
Denmark, 84645
Dominican Republic, 50
Ecuador, 49
Egypt, 8564
El Salvador, 63
England, 2038688
Ethiopia, 1667
Finland, 10478
France, 218523
Georgia (Republic), 1976
Germany, 571210
Ghana, 382
Greece, 38829
Guatemala, 26
Guernsey, 1
Haiti, 5
Honduras, 44
Hungary, 18607
Iceland, 378
India, 69658
Indonesia, 1075
Iran, 5266
Iraq, 32
Ireland, 124894
Israel, 11781
Italy, 172650
Jamaica, 1933
Japan, 248295
Jordan, 4
Kazakhstan, 18
Kenya, 4338
Korea (South), 22530
Kuwait, 227
Kyrgyzstan, 405
Latvia, 24
Lebanon, 1764
Libya, 96
Lithuania, 175
Luxembourg, 228
Madagascar, 163
Malawi, 346
Malaysia, 3751
Mali, 284
Malta, 6
Mexico, 22310
Moldova, 8
Monaco, 5
Morocco, 572
Nepal, 3398
Netherlands, 480054
New Zealand, 32017
Nicaragua, 10
Nigeria, 6601
North Macedonia, 680
Northern Ireland, 849
Norway, 19257
Oman, 257
Pakistan, 13006
Panama, 357
Papua New Guinea, 646
Paraguay, 1
Peru, 1484
Philippines, 648
Poland, 92799
Portugal, 6610
Puerto Rico, 2009
Romania, 15042
Russia (Federation), 155185
Saudi Arabia, 7663
Scotland, 32212
Senegal, 1919
Serbia, 9677
Singapore, 18800
Slovakia, 6531
Slovenia, 890
South Africa, 16143
Spain, 96169
Sri Lanka, 1211
Sudan, 55
Sweden, 40344
Switzerland, 245741
Tanzania, 450
Thailand, 20049
Trinidad and Tobago, 11
Tunisia, 4503
Turkey, 20120
Uganda, 7082
Ukraine, 22802
United Arab Emirates, 5503
United States, 3822960
Uruguay, 551
Uzbekistan, 48
Vatican City, 7
Venezuela, 2668
Vietnam, 2
Wales, 32
Zambia, 197
Zimbabwe, 1672
