Year,Total
1804,2
1859,1
1874,3
1892,2
1893,2
1900,1
1901,1
1906,1
1909,1
1922,1
1926,5
1928,1
1933,1
1937,4
1942,1
1943,1
1945,748
1946,2601
1947,3188
1948,3424
1949,3260
1950,5366
1951,6499
1952,6811
1953,6630
1954,6772
1955,6751
1956,6274
1957,6844
1958,6648
1959,6516
1960,6649
1961,7015
1962,7599
1963,9907
1964,12182
1965,26988
1966,44700
1967,52365
1968,56963
1969,59279
1970,58459
1971,61196
1972,64543
1973,66770
1974,68771
1975,71092
1976,72912
1977,75183
1978,78557
1979,84009
1980,84757
1981,88929
1982,93867
1983,98890
1984,104233
1985,106144
1986,106597
1987,108216
1988,112746
1989,118684
1990,120955
1991,119551
1992,124086
1993,134542
1994,135554
1995,139461
1996,142182
1997,145807
1998,151364
1999,155038
2000,161958
2001,166827
2002,172320
2003,183252
2004,192279
2005,204137
2006,214566
2007,225691
2008,236380
2009,246913
2010,260348
2011,281435
2012,310867
2013,333106
2014,344139
2015,353047
2016,335286
2017,333361
2018,348528
2019,360313
2020,336776
2021,284515
2022,123974
2023,2
