Year,Total
0,197
1804,2
1874,1
1893,2
1900,1
1901,1
1909,3
1911,1
1922,1
1926,2
1928,1
1937,5
1943,1
1945,261
1946,992
1947,1180
1948,1166
1949,1136
1950,1625
1951,1841
1952,1908
1953,1917
1954,2012
1955,1916
1956,1968
1957,2200
1958,2045
1959,2018
1960,2178
1961,2238
1962,2546
1963,3114
1964,4486
1965,21020
1966,42218
1967,50546
1968,55771
1969,57343
1970,57515
1971,59693
1972,63832
1973,66493
1974,67977
1975,70846
1976,73622
1977,75803
1978,79833
1979,84652
1980,87083
1981,91820
1982,97562
1983,103394
1984,109449
1985,111235
1986,112209
1987,114902
1988,119563
1989,124006
1990,126789
1991,125185
1992,130011
1993,139295
1994,140613
1995,143580
1996,145563
1997,148146
1998,153377
1999,155511
2000,161878
2001,165342
2002,170337
2003,180375
2004,189352
2005,200298
2006,210952
2007,221278
2008,232433
2009,240311
2010,252994
2011,274277
2012,303169
2013,326293
2014,337052
2015,343318
2016,324094
2017,323855
2018,336897
2019,346425
2020,316520
2021,254490
2022,94268
0,197
1804,2
1874,1
1893,2
1900,1
1901,1
1909,3
1911,1
1922,1
1926,2
1928,1
1937,5
1943,1
1945,261
1946,992
1947,1180
1948,1166
1949,1136
1950,1625
1951,1841
1952,1908
1953,1917
1954,2012
1955,1916
1956,1968
1957,2200
1958,2045
1959,2018
1960,2178
1961,2238
1962,2546
1963,3114
1964,4486
1965,21020
1966,42218
1967,50546
1968,55771
1969,57343
1970,57515
1971,59693
1972,63832
1973,66493
1974,67977
1975,70846
1976,73622
1977,75803
1978,79833
1979,84652
1980,87083
1981,91820
1982,97562
1983,103394
1984,109449
1985,111235
1986,112209
1987,114902
1988,119563
1989,124006
1990,126789
1991,125185
1992,130011
1993,139295
1994,140613
1995,143580
1996,145563
1997,148146
1998,153377
1999,155511
2000,161878
2001,165342
2002,170337
2003,180375
2004,189352
2005,200298
2006,210952
2007,221278
2008,232433
2009,240311
2010,252994
2011,274277
2012,303169
2013,326293
2014,337052
2015,343318
2016,324094
2017,323855
2018,336897
2019,346425
2020,316520
2021,254490
2022,94268
